x,h
0,2.07206
22.6283,2.07569
46.0452,2.07744
65.0848,2.07799
74.06,2.0778
81.2338,2.07723
87.366,2.07624
92.6049,2.07474
97.054,2.07261
100.862,2.06955
105.266,2.06213
105.993,2.05973
106.54,2.05725
106.975,2.05441
107.258,2.05146
107.34,2.05015
107.395,2.04894
107.429,2.04786
107.45,2.04669
107.46,2.0456
107.467,2.02897
112.711,2.06569
122.779,2.13616
132.28,2.20267
141.314,2.26591
151.844,2.33961
161.104,2.40443
172.841,2.48658
181.006,2.54374
186.879,2.58488
191.361,2.61643
194.616,2.63978
197.151,2.65904
198.466,2.67029
199.486,2.68123
199.779,2.68575
199.94,2.68953
199.969,2.69067
200,2.69321
